Date,DCOILWTICO
1/2/2014,95.14
1/3/2014,93.66
1/6/2014,93.12
1/7/2014,93.31
1/8/2014,91.9
1/9/2014,91.36
1/10/2014,92.39
1/13/2014,91.45
1/14/2014,92.15
1/15/2014,93.78
1/16/2014,93.54
1/17/2014,93.96
1/20/2014,.
1/21/2014,94.51
1/22/2014,96.35
1/23/2014,97.23
1/24/2014,96.66
1/27/2014,95.82
1/28/2014,97.49
1/29/2014,97.34
1/30/2014,98.25
1/31/2014,97.55
2/3/2014,96.44
2/4/2014,97.24
2/5/2014,97.4
2/6/2014,97.84
2/7/2014,99.98
2/10/2014,100.12
2/11/2014,99.96
2/12/2014,100.38
2/13/2014,100.27
2/14/2014,100.31
2/17/2014,.
2/18/2014,102.54
2/19/2014,103.46
2/20/2014,103.2
2/21/2014,102.53
2/24/2014,103.17
2/25/2014,102.2
2/26/2014,102.93
2/27/2014,102.68
2/28/2014,102.88
3/3/2014,105.34
3/4/2014,103.64
3/5/2014,101.75
3/6/2014,101.82
3/7/2014,102.82
3/10/2014,101.39
3/11/2014,100.29
3/12/2014,98.29
3/13/2014,98.57
3/14/2014,99.23
3/17/2014,98.43
3/18/2014,100.08
3/19/2014,100.71
3/20/2014,99.68
3/21/2014,99.97
3/24/2014,100.05
3/25/2014,99.66
3/26/2014,100.61
3/27/2014,101.25
3/28/2014,101.73
3/31/2014,101.57
4/1/2014,99.69
4/2/2014,99.6
4/3/2014,100.29
4/4/2014,101.16
4/7/2014,100.43
4/8/2014,102.57
4/9/2014,103.55
4/10/2014,103.37
4/11/2014,103.68
4/14/2014,104.05
4/15/2014,103.7
4/16/2014,103.71
4/17/2014,104.33
4/18/2014,.
4/21/2014,104.35
4/22/2014,101.69
4/23/2014,101.47
4/24/2014,102.2
4/25/2014,100.85
4/28/2014,101.13
4/29/2014,101.56
4/30/2014,100.07
5/1/2014,99.69
5/2/2014,100.09
5/5/2014,99.74
5/6/2014,99.81
5/7/2014,101.06
5/8/2014,100.52
5/9/2014,100.32
5/12/2014,100.89
5/13/2014,102.01
5/14/2014,102.63
5/15/2014,101.74
5/16/2014,102.31
5/19/2014,102.95
5/20/2014,102.8
5/21/2014,104.31
5/22/2014,104.03
5/23/2014,105.01
5/26/2014,.
5/27/2014,104.78
5/28/2014,103.37
5/29/2014,104.26
5/30/2014,103.4
6/2/2014,103.07
6/3/2014,103.34
6/4/2014,103.27
6/5/2014,103.17
6/6/2014,103.32
6/9/2014,105.09
6/10/2014,105.02
6/11/2014,105.04
6/12/2014,107.2
6/13/2014,107.49
6/16/2014,107.52
