DATE,DEXUSEU
1/16/2015,1.1517
1/19/2015,.
1/20/2015,1.1559
1/21/2015,1.1584
1/22/2015,1.1414
1/23/2015,1.1279
1/26/2015,1.129
1/27/2015,1.137
1/28/2015,1.1342
1/29/2015,1.1308
1/30/2015,1.129
2/2/2015,1.1337
2/3/2015,1.1462
2/4/2015,1.1418
2/5/2015,1.1432
2/6/2015,1.133
2/9/2015,1.1316
2/10/2015,1.1316
2/11/2015,1.13
2/12/2015,1.141
2/13/2015,1.1408
2/16/2015,.
2/17/2015,1.1395
2/18/2015,1.1342
2/19/2015,1.1392
2/20/2015,1.1372
2/23/2015,1.1346
2/24/2015,1.1307
2/25/2015,1.1363
2/26/2015,1.1212
2/27/2015,1.1197
3/2/2015,1.119
3/3/2015,1.1212
3/4/2015,1.107
3/5/2015,1.1006
3/6/2015,1.0855
3/9/2015,1.0846
3/10/2015,1.0707
3/11/2015,1.0576
3/12/2015,1.0615
3/13/2015,1.0524
3/16/2015,1.0575
3/17/2015,1.0605
3/18/2015,1.0643
3/19/2015,1.0621
3/20/2015,1.0792
3/23/2015,1.0928
3/24/2015,1.0908
3/25/2015,1.0986
3/26/2015,1.0919
3/27/2015,1.0891
3/30/2015,1.0818
3/31/2015,1.0741
4/1/2015,1.0768
4/2/2015,1.0874
4/3/2015,1.099
4/6/2015,1.1008
4/7/2015,1.085
4/8/2015,1.0818
4/9/2015,1.0671
4/10/2015,1.0598
4/13/2015,1.0582
4/14/2015,1.0672
4/15/2015,1.0596
4/16/2015,1.0742
4/17/2015,1.078
4/20/2015,1.0763
4/21/2015,1.0758
4/22/2015,1.0729
4/23/2015,1.0803
4/24/2015,1.0876
4/27/2015,1.0892
4/28/2015,1.0979
4/29/2015,1.1174
4/30/2015,1.1162
5/1/2015,1.1194
5/4/2015,1.1145
5/5/2015,1.1174
5/6/2015,1.1345
5/7/2015,1.1283
5/8/2015,1.1241
5/11/2015,1.1142
5/12/2015,1.124
5/13/2015,1.1372
5/14/2015,1.1368
5/15/2015,1.1428
5/18/2015,1.1354
5/19/2015,1.1151
5/20/2015,1.1079
5/21/2015,1.1126
5/22/2015,1.1033
5/25/2015,.
5/26/2015,1.0876
